# Clavi Translation Dictionary — English → Ukrainian
# Tier 1 fallback: word-level static dictionary
# Format: source<TAB>target
# Used when ML Kit model is not yet downloaded.
# ~500 most common EN words. Sorted alphabetically.
about	про
after	після
again	знову
age	вік
agree	погоджуватись
air	повітря
all	всі
also	також
always	завжди
and	і
answer	відповідь
any	будь-який
are	є
ask	питати
at	у
back	назад
bad	поганий
be	бути
because	тому що
before	до
best	найкращий
between	між
big	великий
book	книга
both	обидва
boy	хлопець
bread	хліб
brother	брат
but	але
buy	купувати
by	через
call	дзвонити
can	могти
car	машина
change	змінювати
child	дитина
children	діти
city	місто
close	закрити
come	приходити
correct	правильний
could	міг
country	країна
day	день
dear	дорогий
do	робити
door	двері
down	вниз
drink	пити
each	кожний
eat	їсти
end	кінець
enough	достатньо
even	навіть
every	кожен
example	приклад
face	обличчя
family	сім'я
far	далеко
feel	відчувати
few	кілька
find	знаходити
first	перший
follow	слідувати
food	їжа
for	для
free	вільний
friend	друг
from	від
get	отримати
girl	дівчина
give	давати
go	іти
good	добрий
goodbye	бувай
great	чудово
hand	рука
happy	щасливий
hard	важкий
have	мати
he	він
hello	привіт
help	допомога
her	її
here	тут
him	йому
his	його
home	дім
hour	година
house	будинок
how	як
i	я
idea	ідея
if	якщо
important	важливий
in	в
is	є
it	це
job	робота
just	просто
keep	тримати
kind	вид
know	знати
language	мова
large	великий
last	останній
later	пізніше
learn	вчитися
leave	залишати
left	лівий
life	життя
like	любити
listen	слухати
little	маленький
long	довгий
look	дивитися
love	любов
make	робити
man	чоловік
many	багато
may	може
me	мене
mean	означати
meet	зустрічати
minute	хвилина
money	гроші
month	місяць
more	більше
morning	ранок
most	більшість
mother	мати
move	рухатися
much	дуже
my	мій
name	ім'я
need	потребувати
never	ніколи
new	новий
next	наступний
night	ніч
no	ні
not	не
nothing	нічого
now	зараз
number	число
of	з
off	вимкнено
often	часто
ok	гаразд
on	на
one	один
only	тільки
open	відкрити
or	або
other	інший
our	наш
out	з
over	над
own	власний
people	люди
perhaps	можливо
phone	телефон
place	місце
please	будь ласка
point	точка
possible	можливий
problem	проблема
put	класти
question	питання
read	читати
ready	готовий
real	реальний
right	правий
room	кімната
run	бігти
same	однаковий
say	казати
school	школа
see	бачити
send	надіслати
she	вона
should	повинен
show	показувати
simple	простий
since	з
sister	сестра
small	маленький
so	так
some	деякі
something	щось
sometimes	іноді
sorry	вибачте
speak	говорити
start	починати
still	ще
stop	зупинитися
such	такий
sure	впевнений
take	брати
talk	розмовляти
tell	розповідати
than	ніж
thank	дякувати
thanks	дякую
that	що
the	—
their	їхній
them	їх
then	тоді
there	там
these	ці
they	вони
thing	річ
think	думати
this	це
those	ті
three	три
time	час
to	до
today	сьогодні
together	разом
tomorrow	завтра
too	теж
try	спробувати
turn	повернути
two	два
under	під
understand	розуміти
until	до
up	вгору
use	використовувати
very	дуже
wait	чекати
want	хотіти
water	вода
way	шлях
we	ми
week	тиждень
well	добре
what	що
when	коли
where	де
which	який
who	хто
why	чому
will	буде
with	з
woman	жінка
word	слово
work	робота
world	світ
write	писати
year	рік
yes	так
you	ти
young	молодий
your	твій
