# Clavi Translation Dictionary — Ukrainian → English
# Tier 1 fallback: word-level static dictionary
# Format: source<TAB>target
# Used when ML Kit model is not yet downloaded.
або	or
але	but
багато	many
бачити	see
бігти	run
більше	more
більшість	most
брат	brother
брати	take
будинок	house
будь-який	any
будь ласка	please
бути	be
бувай	goodbye
бути	be
в	in
важкий	hard
важливий	important
вгору	up
велике	great
великий	big
відповідь	answer
відчувати	feel
вільний	free
він	he
вимкнено	off
вниз	down
вона	she
вони	they
всі	all
гаразд	ok
говорити	speak
готовий	ready
гроші	money
давати	give
далеко	far
два	two
де	where
день	day
деякі	some
дитина	child
діти	children
дім	home
дівчина	girl
для	for
добре	well
добрий	good
довгий	long
дорогий	dear
думати	think
дуже	very
дякую	thanks
дякувати	thank
двері	door
до	to
достатньо	enough
з	from
завжди	always
завтра	tomorrow
закрити	close
залишати	leave
знаходити	find
знати	know
знову	again
зустрічати	meet
і	and
іноді	sometimes
їсти	eat
її	her
їх	them
їхній	their
їжа	food
ідея	idea
ім'я	name
іти	go
як	how
якщо	if
кімната	room
кілька	few
кожен	every
кожний	each
коли	when
кінець	end
країна	country
книга	book
купувати	buy
лівий	left
любити	like
любов	love
маленький	small
машина	car
може	may
могти	can
місто	city
місяць	month
місце	place
мати	have
мій	my
мова	language
мене	me
міг	could
між	between
наш	our
на	on
навіть	even
наступний	next
не	not
ніколи	never
ніж	than
ніщо	nothing
нічого	nothing
новий	new
ніч	night
ні	no
обидва	both
обличчя	face
один	one
однаковий	same
або	or
останній	last
отримати	get
питати	ask
питання	question
після	after
пізніше	later
писати	write
пити	drink
під	under
показувати	show
починати	start
правий	right
правильний	correct
привіт	hello
про	about
проблема	problem
просто	just
повернути	turn
повинен	should
повітря	air
потребувати	need
потім	later
після	after
просити	ask
працювати	work
рухатися	move
рука	hand
реальний	real
розмовляти	talk
розуміти	understand
розповідати	tell
ранок	morning
разом	together
рік	year
річ	thing
робота	work
робити	do
сім'я	family
сестра	sister
слухати	listen
слово	word
світ	world
сьогодні	today
так	yes
також	also
такий	such
там	there
тоді	then
тому що	because
тримати	keep
ти	you
тільки	only
твій	your
три	three
тут	here
у	at
це	it
цей	this
ці	these
ті	those
ще	still
школа	school
щось	something
що	that
щасливий	happy
час	time
часто	often
чекати	wait
через	by
числo	number
чому	why
хлопець	boy
хотіти	want
хто	who
хвилина	minute
він	he
використовувати	use
вид	kind
вибачте	sorry
вік	age
вчитися	learn
впевнений	sure
вода	water
може	may
можливий	possible
можливо	perhaps
над	over
або	or
шлях	way
щоб	to
жінка	woman
чоловік	man
їжа	food
їсти	eat
ми	we
я	i
він	he
вона	she
йому	him
його	his
зараз	now
зупинитися	stop
слідувати	follow
класти	put
надіслати	send
відкрити	open
погоджуватись	agree
телефон	phone
точка	point
